"Study","Effect","yi","vi","PCMeasure","Substance","Timeframe","SUMeasure","Age","Gender","Europe","AAO","AfricaME","LatinAmerica","Longitudinal","pubyear","Number","PC_outcome","Including_peer_use","Including_other_peer_connectedness","AddHealth"
"Ali_2013",1,0.051563456308727,0.000295683027794205,"aaSociometric Friendship","Alcohol Use","Recent Use","Any Use",14.735,54.2,0,0,0,0,"0",17,23,1,"no","no",1
"Ali_2013",2,0.05347142827047,0.000295683027794205,"aaSociometric Friendship","Alcohol Use","Recent Use","Any Use",14.735,54.2,0,0,0,0,"0",17,23,1,"no","no",1
"Ali_2014",1,0.0223886777783632,5.04184733286276e-05,"aaSociometric Friendship","Alcohol Use","Recent Use","Any Use",15.169,49.5,0,0,0,0,"0",18,36,1,"no","no",1
"Ali_2014",2,0.0244058781626642,5.04184733286276e-05,"aaSociometric Friendship","Alcohol Use","Recent Use","Any Use",15.169,49.5,0,0,0,0,"0",18,36,1,"no","no",1
"Ali_2014",3,0.0243844603219737,5.04184733286276e-05,"aaSociometric Friendship","Binge Drinking or Drunkenness","Recent Use","Any Use",15.169,49.5,0,0,0,0,"0",18,36,1,"no","no",1
"Ali_2014",4,0.0282566144846871,5.04184733286276e-05,"aaSociometric Friendship","Binge Drinking or Drunkenness","Recent Use","Any Use",15.169,49.5,0,0,0,0,"0",18,36,1,"no","no",1
"Allen_2005",7,0.193495909046146,0.00555555555555556,"Sociometric Likeability","Compound Measure of Drug Use","aNo Frequency Specified","aaNo Measure Specified",13.36,47,0,0,0,0,"1",9,3,0,"no","no",0
"Allen_2008",1,0.252847821951159,0.00408163265306122,"aSelf-Reported Number of Friends","Compound Measure of Drug Use","Lifetime Use","Frequency of Use",13.1077511608601,43,0,0,0,0,"0",12,12,0,"yes","yes",0
"Allen_2012",1,0.0203828081816668,0.00662251655629139,"aaSociometric Friendship","Compound Measure of Drug Use","aNo Frequency Specified","Frequency of Use",13.35,46.7,0,0,0,0,"1",16,5,0,"yes","yes",0
"Allen_2012",2,-0.00813779476826262,0.00662251655629139,"aaSociometric Friendship","Compound Measure of Drug Use","aNo Frequency Specified","Frequency of Use",13.35,46.7,0,0,0,0,"1",16,5,0,"yes","yes",0
